OBJECTID,STATE,NAME,LAT,LON,Date01Start,Date50Start,Date100Start,Dat50End,Date01End,Duration,x,y
1,AR,Fairfield Bay,35.601101,-92.266208,4/9/24 0:13,4/8/24 17:20,4/8/24 17:51,4/8/24 17:56,4/8/24 18:27,240,-92.266208,35.601101
2,AR,Fifty-Six,35.96351,-92.233355,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,240,-92.233355,35.96351
3,AR,Fisher,35.491424,-90.972494,4/9/24 0:13,4/8/24 17:22,4/8/24 17:55,4/8/24 17:56,4/8/24 18:29,30,-90.972494,35.491424
4,AR,Flippin,36.27732,-92.59353,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:55,4/8/24 18:28,150,-92.59353,36.27732
5,AR,Floral,35.588939,-91.758932,4/9/24 0:13,4/8/24 17:21,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,210,-91.758932,35.588939
6,AR,Floyd,35.198879,-91.96453,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:55,4/8/24 18:27,180,-91.96453,35.198879
7,AR,Foreman,33.719494,-94.397668,4/9/24 0:13,4/8/24 17:14,4/8/24 17:45,4/8/24 17:50,4/8/24 18:22,240,-94.397668,33.719494
8,AR,Fountain Lake,34.609848,-92.919774,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:53,4/8/24 18:25,210,-92.919774,34.609848
9,AR,Fourche,34.993128,-92.618944,4/9/24 0:13,4/8/24 17:18,4/8/24 17:50,4/8/24 17:54,4/8/24 18:26,210,-92.618944,34.993128
10,AR,Fox,35.784398,-92.299626,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,240,-92.299626,35.784398
11,AR,Franklin,36.1727,-91.769724,4/9/24 0:13,4/8/24 17:21,4/8/24 17:53,4/8/24 17:57,4/8/24 18:29,240,-91.769724,36.1727
12,AR,Friendship,34.224344,-93.00366,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:52,4/8/24 18:25,150,-93.00366,34.224344
13,AR,Fulton,33.612565,-93.813795,4/9/24 0:13,4/8/24 17:14,4/8/24 17:47,4/8/24 17:50,4/8/24 18:23,150,-93.813795,33.612565
14,AR,Gamaliel,36.45189,-92.236928,4/9/24 0:13,4/8/24 17:21,4/8/24 17:53,4/8/24 17:56,4/8/24 18:28,180,-92.236928,36.45189
15,AR,Garner,35.142496,-91.779184,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:55,4/8/24 18:28,150,-91.779184,35.142496
16,AR,Gassville,36.284949,-92.48683,4/9/24 0:13,4/8/24 17:21,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,180,-92.48683,36.284949
17,AR,Genoa,33.377487,-93.882415,4/9/24 0:13,4/8/24 17:14,4/8/24 17:47,4/8/24 17:48,4/8/24 18:22,30,-93.882415,33.377487
18,AR,Gibson,34.902228,-92.240817,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:54,4/8/24 18:27,180,-92.240817,34.902228
19,AR,Gilbert,35.990981,-92.716181,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:55,4/8/24 18:27,180,-92.716181,35.990981
20,AR,Gillham,34.168628,-94.312977,4/9/24 0:13,4/8/24 17:14,4/8/24 17:46,4/8/24 17:50,4/8/24 18:22,240,-94.312977,34.168628
21,AR,Glenwood,34.328314,-93.527255,4/9/24 0:13,4/8/24 17:16,4/8/24 17:48,4/8/24 17:52,4/8/24 18:24,210,-93.527255,34.328314
22,AR,Grannis,34.240165,-94.321995,4/9/24 0:13,4/8/24 17:15,4/8/24 17:46,4/8/24 17:51,4/8/24 18:23,240,-94.321995,34.240165
23,AR,Greenbrier,35.228843,-92.383568,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:55,4/8/24 18:27,240,-92.383568,35.228843
24,AR,Greenway,36.340577,-90.222124,4/9/24 0:13,4/8/24 17:24,4/8/24 17:56,4/8/24 17:59,4/8/24 18:31,180,-90.222124,36.340577
25,AR,Greenwood,35.226857,-94.276391,4/9/24 0:13,4/8/24 17:16,4/8/24 17:49,4/8/24 17:51,4/8/24 18:24,120,-94.276391,35.226857
26,AR,Greers Ferry,35.574966,-92.165959,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:56,4/8/24 18:27,240,-92.165959,35.574966
27,AR,Griffithville,35.123053,-91.64497,4/9/24 0:13,4/8/24 17:20,4/8/24 17:53,4/8/24 17:55,4/8/24 18:28,120,-91.64497,35.123053
28,AR,Grubbs,35.653999,-91.075464,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:57,4/8/24 18:29,150,-91.075464,35.653999
29,AR,Guion,35.926834,-91.938927,4/9/24 0:13,4/8/24 17:21,4/8/24 17:52,4/8/24 17:57,4/8/24 18:28,240,-91.938927,35.926834
30,AR,Gum Springs,34.063937,-93.095709,4/9/24 0:13,4/8/24 17:16,4/8/24 17:49,4/8/24 17:51,4/8/24 18:24,90,-93.095709,34.063937
31,AR,Gurdon,33.916032,-93.15391,4/9/24 0:13,4/8/24 17:16,4/8/24 17:49,4/8/24 17:50,4/8/24 18:24,30,-93.15391,33.916032
